Population	Genotypes	P_HWE	FREQ
pipiens 	12/0/0	1.000000e+00	52
pipiens 	0/0/12	1.000000e+00	31
pipiens 	11/1/0	1.000000e+00	13
pipiens 	8/3/1	4.037267e-01	3
pipiens 	11/0/1	4.347826e-02	3
pipiens 	10/2/0	1.000000e+00	3
pipiens 	1/0/11	4.347826e-02	2
pipiens 	9/1/2	3.105590e-02	1
pipiens 	8/4/0	1.000000e+00	1
pipiens 	7/4/1	1.000000e+00	1
pipiens 	4/6/2	1.000000e+00	1
pipiens 	3/7/2	1.000000e+00	1
pipiens 	3/0/9	1.634521e-03	1
pipiens 	2/8/2	5.626288e-01	1
pipiens 	2/7/3	1.000000e+00	1
pipiens 	10/0/2	6.211180e-03	1
pipiens 	0/2/10	1.000000e+00	1
pipiens 	0/1/11	1.000000e+00	1
molestus	0/0/5	1.000000e+00	593022
molestus	5/0/0	1.000000e+00	460194
molestus	4/1/0	1.000000e+00	435425
molestus	3/2/0	1.000000e+00	82683
molestus	4/0/1	1.111111e-01	75453
molestus	0/1/4	1.000000e+00	52866
molestus	2/3/0	1.000000e+00	48250
molestus	3/1/1	3.333333e-01	34984
molestus	2/2/1	1.000000e+00	33169
molestus	0/2/3	1.000000e+00	32364
molestus	1/4/0	4.285714e-01	31356
molestus	1/0/4	1.111111e-01	30736
molestus	1/2/2	1.000000e+00	25360
molestus	1/3/1	1.000000e+00	24994
molestus	0/3/2	1.000000e+00	23675
molestus	1/1/3	3.333333e-01	22774
molestus	2/1/2	3.650794e-01	21535
molestus	0/4/1	4.285714e-01	20637
molestus	0/5/0	1.269841e-01	16623
molestus	2/0/3	4.761905e-02	11201
molestus	3/0/2	4.761905e-02	10804
