## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/data/victor/mosquito/data/asgharian/bam/bwa/7.mixS3.sort.RG.bam] OUTPUT=/data/victor/mosquito/data/asgharian/bam/bwa/7.mixS3.sort.RG.markdup.bam METRICS_FILE=marked_metrix/marked_dup_metrix_7.mixS3.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 10 16:28:06 CET 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
7.mixS3	0	23951048	1154928	8362124	0	6425233	1652	0,268265	36243470

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1,000049
2.0	1,516492
3.0	1,783194
4.0	1,920923
5.0	1,992049
6.0	2,02878
7.0	2,047748
8.0	2,057544
9.0	2,062603
10.0	2,065215
11.0	2,066564
12.0	2,067261
13.0	2,067621
14.0	2,067806
15.0	2,067902
16.0	2,067952
17.0	2,067977
18.0	2,067991
19.0	2,067998
20.0	2,068001
21.0	2,068003
22.0	2,068004
23.0	2,068004
24.0	2,068005
25.0	2,068005
26.0	2,068005
27.0	2,068005
28.0	2,068005
29.0	2,068005
30.0	2,068005
31.0	2,068005
32.0	2,068005
33.0	2,068005
34.0	2,068005
35.0	2,068005
36.0	2,068005
37.0	2,068005
38.0	2,068005
39.0	2,068005
40.0	2,068005
41.0	2,068005
42.0	2,068005
43.0	2,068005
44.0	2,068005
45.0	2,068005
46.0	2,068005
47.0	2,068005
48.0	2,068005
49.0	2,068005
50.0	2,068005
51.0	2,068005
52.0	2,068005
53.0	2,068005
54.0	2,068005
55.0	2,068005
56.0	2,068005
57.0	2,068005
58.0	2,068005
59.0	2,068005
60.0	2,068005
61.0	2,068005
62.0	2,068005
63.0	2,068005
64.0	2,068005
65.0	2,068005
66.0	2,068005
67.0	2,068005
68.0	2,068005
69.0	2,068005
70.0	2,068005
71.0	2,068005
72.0	2,068005
73.0	2,068005
74.0	2,068005
75.0	2,068005
76.0	2,068005
77.0	2,068005
78.0	2,068005
79.0	2,068005
80.0	2,068005
81.0	2,068005
82.0	2,068005
83.0	2,068005
84.0	2,068005
85.0	2,068005
86.0	2,068005
87.0	2,068005
88.0	2,068005
89.0	2,068005
90.0	2,068005
91.0	2,068005
92.0	2,068005
93.0	2,068005
94.0	2,068005
95.0	2,068005
96.0	2,068005
97.0	2,068005
98.0	2,068005
99.0	2,068005
100.0	2,068005

