## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/data/victor/mosquito/data/asgharian/bam/bwa/4.torM2.sort.RG.bam] OUTPUT=/data/victor/mosquito/data/asgharian/bam/bwa/4.torM2.sort.RG.markdup.bam METRICS_FILE=marked_metrix/marked_dup_metrix_4.torM2.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 10 16:28:06 CET 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
4.torM2	0	20170695	1264954	12057456	0	5577975	1302	0,276539	29384505

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1,000045
2.0	1,503432
3.0	1,75682
4.0	1,884367
5.0	1,948569
6.0	1,980886
7.0	1,997154
8.0	2,005342
9.0	2,009464
10.0	2,011539
11.0	2,012583
12.0	2,013109
13.0	2,013373
14.0	2,013506
15.0	2,013573
16.0	2,013607
17.0	2,013624
18.0	2,013633
19.0	2,013637
20.0	2,013639
21.0	2,01364
22.0	2,013641
23.0	2,013641
24.0	2,013641
25.0	2,013641
26.0	2,013641
27.0	2,013641
28.0	2,013641
29.0	2,013641
30.0	2,013641
31.0	2,013641
32.0	2,013641
33.0	2,013641
34.0	2,013641
35.0	2,013641
36.0	2,013641
37.0	2,013641
38.0	2,013641
39.0	2,013641
40.0	2,013641
41.0	2,013641
42.0	2,013641
43.0	2,013641
44.0	2,013641
45.0	2,013641
46.0	2,013641
47.0	2,013641
48.0	2,013641
49.0	2,013641
50.0	2,013641
51.0	2,013641
52.0	2,013641
53.0	2,013641
54.0	2,013641
55.0	2,013641
56.0	2,013641
57.0	2,013641
58.0	2,013641
59.0	2,013641
60.0	2,013641
61.0	2,013641
62.0	2,013641
63.0	2,013641
64.0	2,013641
65.0	2,013641
66.0	2,013641
67.0	2,013641
68.0	2,013641
69.0	2,013641
70.0	2,013641
71.0	2,013641
72.0	2,013641
73.0	2,013641
74.0	2,013641
75.0	2,013641
76.0	2,013641
77.0	2,013641
78.0	2,013641
79.0	2,013641
80.0	2,013641
81.0	2,013641
82.0	2,013641
83.0	2,013641
84.0	2,013641
85.0	2,013641
86.0	2,013641
87.0	2,013641
88.0	2,013641
89.0	2,013641
90.0	2,013641
91.0	2,013641
92.0	2,013641
93.0	2,013641
94.0	2,013641
95.0	2,013641
96.0	2,013641
97.0	2,013641
98.0	2,013641
99.0	2,013641
100.0	2,013641

