chr	pos	f_1	f_2	diff_f	type	start	end	atrribute	description	ncbi_id	vectorbase_id	orthodb_id	uniprot_id	GOs_id	GOs_description	interpro_id	interpro_description
NW_001886701.1	300001	0.355690242737055	0.502379854348096	-0.146689611611041	gene	373018	378342	ID=gene22455;Dbxref=VectorBase:CPIJ000004,GeneID:6030780;Name=CpipJ_CPIJ000004;end_range=378342,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000004;partial=true;start_range=.,373018	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6030780	CPIJ000004	1600at7157	A0A3Z6QJT2				
NW_001886701.1	300001	0.355690242737055	0.502379854348096	-0.146689611611041	gene	380451	382351	ID=gene22456;Dbxref=VectorBase:CPIJ000005,GeneID:6030826;Name=CpipJ_CPIJ000005;end_range=382351,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000005;partial=true;start_range=.,380451	malate synthase [Culex quinquefasciatus (southern house mosquito)]	6030826	CPIJ000005	5223at7157	B0VZ37	GO:0004474, GO:0006097	F:malate synthase activity; P:glyoxylate cycle	IPR011076, IPR006252, IPR001465	Malate_synth-like_sf.; Malate_synthA.; Malate_synthase.
NW_001886701.1	600001	0.110734570872192	0.320346038534716	-0.209611467662524	gene	606782	645306	ID=gene22472;Dbxref=VectorBase:CPIJ000020,GeneID:6030825;Name=CpipJ_CPIJ000020;end_range=645306,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000020;partial=true;start_range=.,606782	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6030825	CPIJ000020	9715at7157	B0VZ59	GO:0016021, GO:0016627, GO:0006629	C:integral component of membrane; F:oxidoreductase activity, acting on the CH-CH group of donors; P:lipid metabolic process	IPR001104, IPR010721	3-oxo-5_a-steroid_4-DH_C.; DUF1295.
NW_001886701.1	600001	0.110734570872192	0.320346038534716	-0.209611467662524	gene	684420	685385	ID=gene22473;Dbxref=VectorBase:CPIJ000021,GeneID:6030792;Name=CpipJ_CPIJ000021;end_range=685385,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000021;partial=true;start_range=.,684420	salivary protein [Culex quinquefasciatus (southern house mosquito)]	6030792	CPIJ000021	21185at7157	A0A3T7RTA7				
NW_001886701.1	600001	0.110734570872192	0.320346038534716	-0.209611467662524	gene	696187	696255	ID=gene22475;Dbxref=VectorBase:CPIJ020367,GeneID:6030781;Name=CpipJ_CPIJ020367;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020367	tRNA [Culex quinquefasciatus (southern house mosquito)]	6030781	CPIJ020367		A0A3V4R207				
NW_001886701.1	1900001	0.451796625488741	0.601667166169433	-0.149870540680692	gene	1967107	1967175	ID=gene22549;Dbxref=VectorBase:CPIJ020418,GeneID:6030877;Name=CpipJ_CPIJ020418;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020418	tRNA [Culex quinquefasciatus (southern house mosquito)]	6030877	CPIJ020418		A0A2J0RZX7	GO:0005737, GO:0009267	C:cytoplasm; P:cellular response to starvation	IPR019732	SigmaS_Anti-adapt_IraP.
NW_001886701.1	1900001	0.451796625488741	0.601667166169433	-0.149870540680692	gene	1971214	1972925	ID=gene22550;Dbxref=VectorBase:CPIJ000086,GeneID:6030878;Name=CpipJ_CPIJ000086;end_range=1972925,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000086;partial=true;start_range=.,1971214	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6030878	CPIJ000086	16863at7157	B0VZA7				
NW_001886701.1	1900001	0.451796625488741	0.601667166169433	-0.149870540680692	gene	1973604	1973675	ID=gene22551;Dbxref=VectorBase:CPIJ020419,GeneID:6030879;Name=CpipJ_CPIJ020419;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020419	tRNA [Culex quinquefasciatus (southern house mosquito)]	6030879	CPIJ020419		A0A3Z2GMQ6				
NW_001886701.1	2500001	0.492104017984362	0.671387299645421	-0.179283281661059	gene	2502372	2503132	ID=gene22585;Dbxref=VectorBase:CPIJ000117,GeneID:6030914;Name=CpipJ_CPIJ000117;end_range=2503132,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000117;partial=true;start_range=.,2502372	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6030914	CPIJ000117		B0VYY7				
NW_001886701.1	2500001	0.492104017984362	0.671387299645421	-0.179283281661059	gene	2506549	2524948	ID=gene22586;Dbxref=VectorBase:CPIJ000118,GeneID:6030915;Name=CpipJ_CPIJ000118;end_range=2524948,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000118;partial=true;start_range=.,2506549	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6030915	CPIJ000118	5742at7157	A0A3V1BRJ2				
NW_001886701.1	2500001	0.492104017984362	0.671387299645421	-0.179283281661059	gene	2518200	2518273	ID=gene22587;Dbxref=VectorBase:CPIJ020452,GeneID:6030916;Name=CpipJ_CPIJ020452;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020452	tRNA [Culex quinquefasciatus (southern house mosquito)]	6030916	CPIJ020452		A0A3U1AAY5				
NW_001886701.1	2500001	0.492104017984362	0.671387299645421	-0.179283281661059	gene	2526677	2528439	ID=gene22588;Dbxref=VectorBase:CPIJ000119,GeneID:6030917;Name=CpipJ_CPIJ000119;end_range=2528439,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000119;partial=true;start_range=.,2526677	kelch domain-containing protein 4 [Culex quinquefasciatus (southern house mosquito)]	6030917	CPIJ000119	8890at7157	B0VYZ4			IPR015915, IPR011498	Kelch-typ_b-propeller.; Kelch_2.
NW_001886701.1	2500001	0.492104017984362	0.671387299645421	-0.179283281661059	gene	2534686	2535575	ID=gene22589;Dbxref=VectorBase:CPIJ000120,GeneID:6030918;Name=CpipJ_CPIJ000120;end_range=2535575,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000120;partial=true;start_range=.,2534686	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6030918	CPIJ000120	15267at7157	B0VYZ5				
NW_001886701.1	2500001	0.492104017984362	0.671387299645421	-0.179283281661059	gene	2551284	2588238	ID=gene22590;Dbxref=VectorBase:CPIJ000121,GeneID:6030919;Name=CpipJ_CPIJ000121;end_range=2588238,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000121;partial=true;start_range=.,2551284	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6030919	CPIJ000121	16563at7157	A0A3Y1CAB0				
NW_001886701.1	2700001	0.41876913637751	0.6451617448863	-0.22639260850879	gene	2715890	2725752	ID=gene22595;Dbxref=VectorBase:CPIJ000124,GeneID:6030925;Name=CpipJ_CPIJ000124;end_range=2725752,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000124;partial=true;start_range=.,2715890	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6030925	CPIJ000124	12641at7157	A0A3Y9BSF9				
NW_001886701.1	2700001	0.41876913637751	0.6451617448863	-0.22639260850879	gene	2754492	2754564	ID=gene22596;Dbxref=VectorBase:CPIJ020464,GeneID:6030926;Name=CpipJ_CPIJ020464;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020464	tRNA [Culex quinquefasciatus (southern house mosquito)]	6030926	CPIJ020464		A0A3U5YF95				
NW_001886701.1	2700001	0.41876913637751	0.6451617448863	-0.22639260850879	gene	2759135	2759208	ID=gene22597;Dbxref=VectorBase:CPIJ020465,GeneID:6030927;Name=CpipJ_CPIJ020465;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020465	tRNA [Culex quinquefasciatus (southern house mosquito)]	6030927	CPIJ020465		A0A3U8HHT9				
NW_001886701.1	2800001	0.567754900439384	0.720008049426083	-0.152253148986699	gene	2842754	2845950	ID=gene22598;Dbxref=VectorBase:CPIJ000125,GeneID:6030928;Name=CpipJ_CPIJ000125;end_range=2845950,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000125;partial=true;start_range=.,2842754	iroquois-class homeodomain protein irx [Culex quinquefasciatus (southern house mosquito)]	6030928	CPIJ000125	18004at7157	A0A3Y4RRV7				
NW_001886701.1	2800001	0.567754900439384	0.720008049426083	-0.152253148986699	gene	2869191	2869860	ID=gene22599;Dbxref=VectorBase:CPIJ000126,GeneID:6030929;Name=CpipJ_CPIJ000126;end_range=2869860,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000126;partial=true;start_range=.,2869191	replication factor C 38kD subunit [Culex quinquefasciatus (southern house mosquito)]	6030929	CPIJ000126		A0A3Y1CAC0				
NW_001886704.1	300001	0.40646595331483	0.550911568879862	-0.144445615565032	gene	323626	324653	ID=gene22161;Dbxref=VectorBase:CPIJ000357,GeneID:6031185;Name=CpipJ_CPIJ000357;end_range=324653,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000357;partial=true;start_range=.,323626	hsp70 binding protein [Culex quinquefasciatus (southern house mosquito)]	6031185	CPIJ000357	11229at7157	A0A3V0IN52				
NW_001886704.1	300001	0.40646595331483	0.550911568879862	-0.144445615565032	gene	326276	327802	ID=gene22162;Dbxref=VectorBase:CPIJ000358,GeneID:6031186;Name=CpipJ_CPIJ000358;end_range=327802,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000358;partial=true;start_range=.,326276	TFIIH basal transcription factor complex p34 subunit [Culex quinquefasciatus (southern house mosquito)]	6031186	CPIJ000358	11005at7157	A0A3U5KQF6				
NW_001886704.1	300001	0.40646595331483	0.550911568879862	-0.144445615565032	gene	327889	339783	ID=gene22163;Dbxref=VectorBase:CPIJ000359,GeneID:6031187;Name=CpipJ_CPIJ000359;end_range=339783,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000359;partial=true;start_range=.,327889	Nop2p [Culex quinquefasciatus (southern house mosquito)]	6031187	CPIJ000359	6074at7157	A0A3U8HEI2				
NW_001886704.1	300001	0.40646595331483	0.550911568879862	-0.144445615565032	gene	340104	343909	ID=gene22164;Dbxref=VectorBase:CPIJ000360,GeneID:6031188;Name=CpipJ_CPIJ000360;end_range=343909,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000360;partial=true;start_range=.,340104	YEATS domain containing protein 4 [Culex quinquefasciatus (southern house mosquito)]	6031188	CPIJ000360	12686at7157	A0A1J4R6H5	GO:0009289, GO:0007155	C:pilus; P:cell adhesion	IPR000259, IPR036937, IPR008966	Adhesion_dom_fimbrial.; Adhesion_dom_fimbrial_sf.; Adhesion_dom_sf.
NW_001886704.1	300001	0.40646595331483	0.550911568879862	-0.144445615565032	gene	344858	351488	ID=gene22165;Dbxref=VectorBase:CPIJ000361,GeneID:6031189;Name=CpipJ_CPIJ000361;end_range=351488,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000361;partial=true;start_range=.,344858	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031189	CPIJ000361	11816at7157	B0VZZ7			IPR011993, IPR006020	PH-like_dom_sf.; PTB/PI_dom.
